"perm","id_1","id_2","name_1","name_2","lat_id_1","lon_id_1","lat_id_2","lon_id_2","distance"
way/469203131way/1180028681,way/469203131,way/1180028681,Joseph F. Mafera Park,Veterans Memorial Park,40.7070248,-73.8912414,40.8964486,-73.9731078,28671
way/469203131way/225189513,way/469203131,way/225189513,Joseph F. Mafera Park,Poor Richard's Playground,40.7070248,-73.8912414,40.7926185,-73.9426331,15040
way/469203131way/676105729,way/469203131,way/676105729,Joseph F. Mafera Park,,40.7070248,-73.8912414,40.7541286,-73.8249625,16642.4
way/469203131node/357637130,way/469203131,node/357637130,Joseph F. Mafera Park,Georgia Avenue Garden,40.7070248,-73.8912414,40.6611111,-73.8941667,8406.5
way/469203131node/357610721,way/469203131,node/357610721,Joseph F. Mafera Park,Veteran's Memorial Park,40.7070248,-73.8912414,41.0408397,-73.9819517,50524.4
way/469203131way/607557302,way/469203131,way/607557302,Joseph F. Mafera Park,,40.7070248,-73.8912414,40.6597213,-74.2520383,43300.4
way/469203131way/445852457,way/469203131,way/445852457,Joseph F. Mafera Park,Stein Field,40.7070248,-73.8912414,40.5969947,-74.2929807,49954.5
way/469203131relation/17283039,way/469203131,relation/17283039,Joseph F. Mafera Park,Nassau Mall,40.7070248,-73.8912414,40.7647537,-73.7250832,19152.8
way/469203131way/409831746,way/469203131,way/409831746,Joseph F. Mafera Park,Calvert Field,40.7070248,-73.8912414,40.8326797,-73.4920356,43995
way/469203131way/981858308,way/469203131,way/981858308,Joseph F. Mafera Park,,40.7070248,-73.8912414,40.7816228,-73.6743688,24716.9
way/469203131way/916885477,way/469203131,way/916885477,Joseph F. Mafera Park,,40.7070248,-73.8912414,40.840043,-73.7074015,30564.4
way/469203131way/367482920,way/469203131,way/367482920,Joseph F. Mafera Park,Sergeant Collins Triangle,40.7070248,-73.8912414,40.751779,-73.902945,6656.3
way/469203131way/755070460,way/469203131,way/755070460,Joseph F. Mafera Park,Nature Study Woods,40.7070248,-73.8912414,40.9356728,-73.8025819,39916.2
way/334803989way/701209222,way/334803989,way/701209222,Civil War Monument Park,Stewart Field,40.9973838,-73.6682347,40.7319938,-73.6159393,56750.7
way/334803989way/601388078,way/334803989,way/601388078,Civil War Monument Park,Railroad Playground,40.9973838,-73.6682347,40.6494403,-73.9143004,57913.1
way/334803989way/496524239,way/334803989,way/496524239,Civil War Monument Park,Halsey Pond Park,40.9973838,-73.6682347,41.0283515,-73.8587462,25783.1
way/334803989way/187680299,way/334803989,way/187680299,Civil War Monument Park,Olmezer Park,40.9973838,-73.6682347,40.5504805,-74.3665681,96781.8
way/334803989way/469203131,way/334803989,way/469203131,Civil War Monument Park,Joseph F. Mafera Park,40.9973838,-73.6682347,40.7070248,-73.8912414,50076.4
way/334803989way/639082317,way/334803989,way/639082317,Civil War Monument Park,Huddy Park,40.9973838,-73.6682347,40.4048161,-73.9942834,125947.3
way/334803989way/1180028681,way/334803989,way/1180028681,Civil War Monument Park,Veterans Memorial Park,40.9973838,-73.6682347,40.8964486,-73.9731078,44347.9
way/334803989way/225189513,way/334803989,way/225189513,Civil War Monument Park,Poor Richard's Playground,40.9973838,-73.6682347,40.7926185,-73.9426331,38814.4
way/334803989way/676105729,way/334803989,way/676105729,Civil War Monument Park,,40.9973838,-73.6682347,40.7541286,-73.8249625,36550.3
way/334803989node/357637130,way/334803989,node/357637130,Civil War Monument Park,Georgia Avenue Garden,40.9973838,-73.6682347,40.6611111,-73.8941667,55318
way/334803989node/357610721,way/334803989,node/357610721,Civil War Monument Park,Veteran's Memorial Park,40.9973838,-73.6682347,41.0408397,-73.9819517,40183.6
way/334803989way/607557302,way/334803989,way/607557302,Civil War Monument Park,,40.9973838,-73.6682347,40.6597213,-74.2520383,80033.6
way/334803989way/445852457,way/334803989,way/445852457,Civil War Monument Park,Stein Field,40.9973838,-73.6682347,40.5969947,-74.2929807,86868.6
way/334803989relation/17283039,way/334803989,relation/17283039,Civil War Monument Park,Nassau Mall,40.9973838,-73.6682347,40.7647537,-73.7250832,43033.2
way/334803989way/409831746,way/334803989,way/409831746,Civil War Monument Park,Calvert Field,40.9973838,-73.6682347,40.8326797,-73.4920356,67875.4
way/334803989way/981858308,way/334803989,way/981858308,Civil War Monument Park,,40.9973838,-73.6682347,40.7816228,-73.6743688,48597.3
way/334803989way/916885477,way/334803989,way/916885477,Civil War Monument Park,,40.9973838,-73.6682347,40.840043,-73.7074015,54444.8
way/334803989way/367482920,way/334803989,way/367482920,Civil War Monument Park,Sergeant Collins Triangle,40.9973838,-73.6682347,40.751779,-73.902945,42240.6
way/334803989way/755070460,way/334803989,way/755070460,Civil War Monument Park,Nature Study Woods,40.9973838,-73.6682347,40.9356728,-73.8025819,18001.5
way/639082317way/701209222,way/639082317,way/701209222,Huddy Park,Stewart Field,40.4048161,-73.9942834,40.7319938,-73.6159393,127659.7
way/639082317way/601388078,way/639082317,way/601388078,Huddy Park,Railroad Playground,40.4048161,-73.9942834,40.6494403,-73.9143004,82815.2
way/639082317way/496524239,way/639082317,way/496524239,Huddy Park,Halsey Pond Park,40.4048161,-73.9942834,41.0283515,-73.8587462,114337.7
way/639082317way/187680299,way/639082317,way/187680299,Huddy Park,Olmezer Park,40.4048161,-73.9942834,40.5504805,-74.3665681,42961
way/639082317way/469203131,way/639082317,way/469203131,Huddy Park,Joseph F. Mafera Park,40.4048161,-73.9942834,40.7070248,-73.8912414,88359.1
way/639082317way/334803989,way/639082317,way/334803989,Huddy Park,Civil War Monument Park,40.4048161,-73.9942834,40.9973838,-73.6682347,123805.1
way/639082317way/1180028681,way/639082317,way/1180028681,Huddy Park,Veterans Memorial Park,40.4048161,-73.9942834,40.8964486,-73.9731078,87583.1
way/639082317way/225189513,way/639082317,way/225189513,Huddy Park,Poor Richard's Playground,40.4048161,-73.9942834,40.7926185,-73.9426331,95929.6
way/639082317way/676105729,way/639082317,way/676105729,Huddy Park,,40.4048161,-73.9942834,40.7541286,-73.8249625,105616.5
way/639082317node/357637130,way/639082317,node/357637130,Huddy Park,Georgia Avenue Garden,40.4048161,-73.9942834,40.6611111,-73.8941667,85199
way/639082317node/357610721,way/639082317,node/357610721,Huddy Park,Veteran's Memorial Park,40.4048161,-73.9942834,41.0408397,-73.9819517,109436.5
way/639082317way/607557302,way/639082317,way/607557302,Huddy Park,,40.4048161,-73.9942834,40.6597213,-74.2520383,54211.1
way/639082317way/445852457,way/639082317,way/445852457,Huddy Park,Stein Field,40.4048161,-73.9942834,40.5969947,-74.2929807,43621.3
way/639082317relation/17283039,way/639082317,relation/17283039,Huddy Park,Nassau Mall,40.4048161,-73.9942834,40.7647537,-73.7250832,113942.3
way/639082317way/409831746,way/639082317,way/409831746,Huddy Park,Calvert Field,40.4048161,-73.9942834,40.8326797,-73.4920356,138784.5
way/639082317way/981858308,way/639082317,way/981858308,Huddy Park,,40.4048161,-73.9942834,40.7816228,-73.6743688,119506.4
way/639082317way/916885477,way/639082317,way/916885477,Huddy Park,,40.4048161,-73.9942834,40.840043,-73.7074015,125353.9
way/639082317way/367482920,way/639082317,way/367482920,Huddy Park,Sergeant Collins Triangle,40.4048161,-73.9942834,40.751779,-73.902945,101869.7
way/639082317way/755070460,way/639082317,way/755070460,Huddy Park,Nature Study Woods,40.4048161,-73.9942834,40.9356728,-73.8025819,108594.5
way/1180028681way/701209222,way/1180028681,way/701209222,Veterans Memorial Park,Stewart Field,40.8964486,-73.9731078,40.7319938,-73.6159393,48811.5
way/1180028681way/601388078,way/1180028681,way/601388078,Veterans Memorial Park,Railroad Playground,40.8964486,-73.9731078,40.6494403,-73.9143004,48131
way/1180028681way/496524239,way/1180028681,way/496524239,Veterans Memorial Park,Halsey Pond Park,40.8964486,-73.9731078,41.0283515,-73.8587462,35489.4
way/1180028681way/187680299,way/1180028681,way/187680299,Veterans Memorial Park,Olmezer Park,40.8964486,-73.9731078,40.5504805,-74.3665681,59645.3
way/1180028681way/469203131,way/1180028681,way/469203131,Veterans Memorial Park,Joseph F. Mafera Park,40.8964486,-73.9731078,40.7070248,-73.8912414,29000
way/1180028681way/334803989,way/1180028681,way/334803989,Veterans Memorial Park,Civil War Monument Park,40.8964486,-73.9731078,40.9973838,-73.6682347,44956.8
way/1180028681way/639082317,way/1180028681,way/639082317,Veterans Memorial Park,Huddy Park,40.8964486,-73.9731078,40.4048161,-73.9942834,88810.8
way/1180028681way/225189513,way/1180028681,way/225189513,Veterans Memorial Park,Poor Richard's Playground,40.8964486,-73.9731078,40.7926185,-73.9426331,17081.3
way/1180028681way/676105729,way/1180028681,way/676105729,Veterans Memorial Park,,40.8964486,-73.9731078,40.7541286,-73.8249625,26768.2
way/1180028681node/357637130,way/1180028681,node/357637130,Veterans Memorial Park,Georgia Avenue Garden,40.8964486,-73.9731078,40.6611111,-73.8941667,45535.9
way/1180028681node/357610721,way/1180028681,node/357610721,Veterans Memorial Park,Veteran's Memorial Park,40.8964486,-73.9731078,41.0408397,-73.9819517,22824.8
way/1180028681way/607557302,way/1180028681,way/607557302,Veterans Memorial Park,,40.8964486,-73.9731078,40.6597213,-74.2520383,42897.1
way/1180028681way/445852457,way/1180028681,way/445852457,Veterans Memorial Park,Stein Field,40.8964486,-73.9731078,40.5969947,-74.2929807,49732.1
way/1180028681relation/17283039,way/1180028681,relation/17283039,Veterans Memorial Park,Nassau Mall,40.8964486,-73.9731078,40.7647537,-73.7250832,35094
way/1180028681way/409831746,way/1180028681,way/409831746,Veterans Memorial Park,Calvert Field,40.8964486,-73.9731078,40.8326797,-73.4920356,59936.2
way/1180028681way/981858308,way/1180028681,way/981858308,Veterans Memorial Park,,40.8964486,-73.9731078,40.7816228,-73.6743688,40658.1
way/1180028681way/916885477,way/1180028681,way/916885477,Veterans Memorial Park,,40.8964486,-73.9731078,40.840043,-73.7074015,46505.6
